Snapshot,Nodes,Edges,Density,AvgDegree,NumComponents,SizeLargestComponent,AvgClusteringCoeff
11659570,118,883,0.12791539910183977,14.966101694915254,4,88,0.9629364364536895
11861210,114,817,0.12684365781710916,14.333333333333334,3,89,0.9542120463292608
12043054,116,864,0.1295352323838081,14.89655172413793,3,90,0.9590482992007617
12244515,114,831,0.12901723334885887,14.578947368421053,4,69,0.9562512498093464
12438842,119,852,0.12135023500925794,14.319327731092438,4,74,0.9672040009064727
12638919,130,890,0.10614192009540847,13.692307692307692,5,81,0.9592141574561349
12831436,155,1128,0.09451193967323,14.55483870967742,6,84,0.9743128914634156
13029639,167,1148,0.08282230719284323,13.748502994011975,9,62,0.9778996143049995
13230157,172,1189,0.08085135318917448,13.825581395348838,9,63,0.9736102000294888
13422506,179,1294,0.08122528403741133,14.458100558659218,8,84,0.9772922266267327
13620205,181,1341,0.08232044198895028,14.817679558011049,7,100,0.974962285166653
13809597,174,1245,0.08271875622882201,14.310344827586206,6,110,0.9699950628165521
14009885,173,1259,0.08462158892324237,14.554913294797688,4,130,0.9570035318471835
14210564,179,1326,0.08323394639382337,14.815642458100559,4,137,0.9677824742032889
14391029,184,1402,0.08327393680209076,15.23913043478261,4,142,0.9710118715739904
14589816,190,1483,0.08259537733221944,15.610526315789473,4,145,0.9713957407835989
14779829,180,1384,0.08590937306021106,15.377777777777778,2,169,0.9667514210616673
14967365,199,1716,0.08710217755443886,17.246231155778894,3,178,0.9739543407359745
